"","twitter_name","party","personal.first_name","personal.last_name"
"486",NA,"FDP","Martin","Neumann"
"487","stephanthomae","FDP","Stephan","Thomae"
"488",NA,"FDP","Alexander","Müller"
"489","starkwatzinger","FDP","Bettina","Stark-Watzinger"
"490",NA,"FDP","Britta","Dassler"
"491","c_lindner","FDP","Christian","Lindner"
"492","danywagner_da","DIE GRÜNEN","Daniela","Wagner"
"493","marcelklingevs","FDP","Marcel","Klinge"
"494","ruppert_stefan","FDP","Stefan","Ruppert"
"495",NA,"FDP","Hagen","Reinhold"
"496",NA,"DIE GRÜNEN","Ingrid","Nestle"
"497","jimmyschulz","FDP","Jimmy","Schulz"
"498","johannesvogel","FDP","Johannes","Vogel"
"499",NA,"FDP","Judith","Skudelny"
"500","badulrichmartha","DIE GRÜNEN","Lisa","Badum"
"501","manuelhoeferlin","FDP","Manuel","Höferlin"
"502",NA,"FDP","Matthias","Seestern-Pauly"
"503","olliluksic","FDP","Oliver","Luksic"
"504",NA,"CSU","Peter","Aumer"
"505","ingrid_remmers","DIE LINKE","Ingrid","Remmers"
"506","andi_wagner","DIE LINKE","Andreas","Wagner"
"507","gruenclaudia","DIE GRÜNEN","Claudia","Müller"
"508","derdanyal","DIE GRÜNEN","Danyal","Bayaz"
"509",NA,"FDP","Bernd","Buchholz"
"510","marc_jongen","AfD","Marc","Jongen"
"511",NA,"AfD","Jörn","König"
"512","katrinhelling","FDP","Katrin","Helling-Plahr"
"513","marcusfaber","FDP","Marcus","Faber"
"514",NA,"DIE GRÜNEN","Margit","Stumpp"
"515",NA,"Parteilos","Mario","Mieruch"
"516","renner_afd","AfD","Martin E.","Renner"
"517","mischrodi","SPD","Michael","Schrodi"
"518","axelgehrke","AfD","Axel","Gehrke"
"519","renataalt_mdb","FDP","Renata","Alt"
"520",NA,"DIE GRÜNEN","Stefan","Schmidt"
"521","afdprotschka","AfD","Stephan","Protschka"
"522",NA,"AfD","Thomas","Ehrhorn"
"523",NA,"FDP","Till","Mansmann"
"524","tobiasmpeterka","AfD","Tobias Matthias","Peterka"
"525","tpflueger","DIE LINKE","Tobias","Pflüger"
"526",NA,"AfD","Volker","Münz"
"527",NA,"FDP","Wolfgang","Kubicki"
"528","danielakluckert","FDP","Daniela","Kluckert"
"529",NA,"CDU","Thomas","Heilmann"
"530","enricokomning","AfD","Enrico","Komning"
"531","ulschzi","AfD","Ulrike","Schielke-Ziesing"
"532","leif_erik_holm","AfD","Leif-Erik","Holm"
"533","birke_bull","DIE LINKE","Birke","Bull-Bischoff"
