"","mp_names","mp_parties","mp_url","mp_url_full","interventions","interventions_com"
"152","Marci Ien","Liberal","/Members/en/marci-ien(107097)","https://www.ourcommons.ca/Members/en/marci-ien(107097)","21 in the current session","67 in the current session"
"153","Helena Jaczek","Liberal","/Members/en/helena-jaczek(105229)","https://www.ourcommons.ca/Members/en/helena-jaczek(105229)","11 in the current session","None in the current session"
"154","Matt Jeneroux","Conservative","/Members/en/matt-jeneroux(89167)","https://www.ourcommons.ca/Members/en/matt-jeneroux(89167)","58 in the current session","134 in the current session"
"155","Gord Johns","NDP","/Members/en/gord-johns(89263)","https://www.ourcommons.ca/Members/en/gord-johns(89263)","324 in the current session","443 in the current session"
"156","Mélanie Joly","Liberal","/Members/en/melanie-joly(88384)","https://www.ourcommons.ca/Members/en/melanie-joly(88384)","176 in the current session","168 in the current session"
"157","Yvonne Jones","Liberal","/Members/en/yvonne-jones(13218)","https://www.ourcommons.ca/Members/en/yvonne-jones(13218)","66 in the current session","45 in the current session"
"158","Majid Jowhari","Liberal","/Members/en/majid-jowhari(88929)","https://www.ourcommons.ca/Members/en/majid-jowhari(88929)","46 in the current session","211 in the current session"
"159","Peter Julian","NDP","/Members/en/peter-julian(16399)","https://www.ourcommons.ca/Members/en/peter-julian(16399)","273 in the current session","626 in the current session"
"160","Arielle Kayabaga","Liberal","/Members/en/arielle-kayabaga(110502)","https://www.ourcommons.ca/Members/en/arielle-kayabaga(110502)","41 in the current session","181 in the current session"
"161","Mike Kelloway","Liberal","/Members/en/mike-kelloway(104531)","https://www.ourcommons.ca/Members/en/mike-kelloway(104531)","37 in the current session","109 in the current session"
"162","Pat Kelly","Conservative","/Members/en/pat-kelly(89130)","https://www.ourcommons.ca/Members/en/pat-kelly(89130)","104 in the current session","1323 in the current session"
"163","Iqra Khalid","Liberal","/Members/en/iqra-khalid(88849)","https://www.ourcommons.ca/Members/en/iqra-khalid(88849)","53 in the current session","287 in the current session"
"164","Kamal Khera","Liberal","/Members/en/kamal-khera(88705)","https://www.ourcommons.ca/Members/en/kamal-khera(88705)","99 in the current session","21 in the current session"
"165","Robert Kitchen","Conservative","/Members/en/robert-kitchen(89095)","https://www.ourcommons.ca/Members/en/robert-kitchen(89095)","73 in the current session","925 in the current session"
"166","Tom Kmiec","Conservative","/Members/en/tom-kmiec(89136)","https://www.ourcommons.ca/Members/en/tom-kmiec(89136)","153 in the current session","135 in the current session"
"167","Annie Koutrakis","Liberal","/Members/en/annie-koutrakis(105009)","https://www.ourcommons.ca/Members/en/annie-koutrakis(105009)","42 in the current session","117 in the current session"
"168","Michael Kram","Conservative","/Members/en/michael-kram(89080)","https://www.ourcommons.ca/Members/en/michael-kram(89080)","34 in the current session","190 in the current session"
"169","Shelby Kramp-Neuman","Conservative","/Members/en/shelby-kramp-neuman(110454)","https://www.ourcommons.ca/Members/en/shelby-kramp-neuman(110454)","110 in the current session","128 in the current session"
"170","Damien C. Kurek","Conservative","/Members/en/damien-c-kurek(105614)","https://www.ourcommons.ca/Members/en/damien-c-kurek(105614)","240 in the current session","232 in the current session"
"171","Stephanie Kusie","Conservative","/Members/en/stephanie-kusie(96367)","https://www.ourcommons.ca/Members/en/stephanie-kusie(96367)","149 in the current session","258 in the current session"
"172","Irek Kusmierczyk","Liberal","/Members/en/irek-kusmierczyk(71820)","https://www.ourcommons.ca/Members/en/irek-kusmierczyk(71820)","79 in the current session","157 in the current session"
"173","Jenny Kwan","NDP","/Members/en/jenny-kwan(89346)","https://www.ourcommons.ca/Members/en/jenny-kwan(89346)","233 in the current session","731 in the current session"
"174","Mike Lake","Conservative","/Members/en/mike-lake(35857)","https://www.ourcommons.ca/Members/en/mike-lake(35857)","46 in the current session","189 in the current session"
"175","Marie-France Lalonde","Liberal","/Members/en/marie-france-lalonde(92209)","https://www.ourcommons.ca/Members/en/marie-france-lalonde(92209)","103 in the current session","93 in the current session"
"176","Emmanuella Lambropoulos","Liberal","/Members/en/emmanuella-lambropoulos(96350)","https://www.ourcommons.ca/Members/en/emmanuella-lambropoulos(96350)","31 in the current session","151 in the current session"
"177","David Lametti","Liberal","/Members/en/david-lametti(88501)","https://www.ourcommons.ca/Members/en/david-lametti(88501)","165 in the current session","233 in the current session"
"178","Kevin Lamoureux","Liberal","/Members/en/kevin-lamoureux(30552)","https://www.ourcommons.ca/Members/en/kevin-lamoureux(30552)","1430 in the current session","22 in the current session"
"179","Melissa Lantsman","Conservative","/Members/en/melissa-lantsman(110665)","https://www.ourcommons.ca/Members/en/melissa-lantsman(110665)","203 in the current session","134 in the current session"
"180","Viviane Lapointe","Liberal","/Members/en/viviane-lapointe(110663)","https://www.ourcommons.ca/Members/en/viviane-lapointe(110663)","28 in the current session","194 in the current session"
"181","Andréanne Larouche","Bloc Québécois","/Members/en/andreanne-larouche(104973)","https://www.ourcommons.ca/Members/en/andreanne-larouche(104973)","217 in the current session","325 in the current session"
"182","Patricia Lattanzio","Liberal","/Members/en/patricia-lattanzio(104957)","https://www.ourcommons.ca/Members/en/patricia-lattanzio(104957)","18 in the current session","150 in the current session"
"183","Stéphane Lauzon","Liberal","/Members/en/stephane-lauzon(88394)","https://www.ourcommons.ca/Members/en/stephane-lauzon(88394)","41 in the current session","102 in the current session"
"184","Philip Lawrence","Conservative","/Members/en/philip-lawrence(105291)","https://www.ourcommons.ca/Members/en/philip-lawrence(105291)","130 in the current session","361 in the current session"
"185","Dominic LeBlanc","Liberal","/Members/en/dominic-leblanc(1813)","https://www.ourcommons.ca/Members/en/dominic-leblanc(1813)","38 in the current session","104 in the current session"
"186","Diane Lebouthillier","Liberal","/Members/en/diane-lebouthillier(88460)","https://www.ourcommons.ca/Members/en/diane-lebouthillier(88460)","35 in the current session","None in the current session"
"187","Richard Lehoux","Conservative","/Members/en/richard-lehoux(104653)","https://www.ourcommons.ca/Members/en/richard-lehoux(104653)","77 in the current session","207 in the current session"
